date,likesCount,commentsCount,text,Sentiment
2022-09-07T17:12:32.000Z,2,,"neat comparison i have not heard it before
 i would say that co is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere",Neutral
2022-09-08T14:51:13.000Z,0,,an excellent way to visualise the invisible thanks,Positive
2022-09-07T17:19:41.000Z,1,3.0,does the coghg in the troposphere affect the stratosphere being warmer the troposphere must be expanding,Neutral
2022-09-08T00:51:30.000Z,4,,excellent post i defo feel the difference  one i can drink and the other makes me feel sick,Positive
2022-09-07T19:06:20.000Z,16,26.0,yes and carbon dioxide does not harm the earth like you people are making it out to be fake climate change rhetoric as usual,Negative
2022-09-15T17:10:57.000Z,4,1.0,excellent examplevery relatable to the gen pop complex topicsexplained in understandable ways ,Positive
2022-09-07T17:31:25.000Z,10,,i am so proud of whoever created this content please feel very very good about yourself today,Positive
2022-09-07T18:07:53.000Z,1,21.0,has the earth ever had a concentration of over  ppm,Neutral
2022-09-07T22:45:56.000Z,0,,yes and not even half a cup later that poor soul is gonna know it too,Negative
2022-09-07T16:30:55.000Z,4,8.0,historical co data would make it an interesting post,Positive
2022-09-07T16:13:39.000Z,6,28.0,why the northern hemisphere warm more than the southern hemisphere,Positive
2022-09-07T17:10:34.000Z,1,6.0,so what are we gonna do about it,Neutral
2022-09-07T16:48:17.000Z,3,,yes i fall asleep on decaf and stay awake with real coffee you can keep your brown sadness water thanks,Positive
2022-09-07T16:29:02.000Z,18,1.0,plus you can literally measure the heat retention effect of co in a glass container in a lab,Neutral
2022-09-07T22:24:21.000Z,3,,the two most abundant gases nitrogen and oxygen comprise  of the atmosphere neither traps heat by definition all greenhouse gases are trace gases because they live in the remaining  its too bad the co is naturally so sparse if co were naturally abundant like oxygen our emissions wouldnt matter wed have a negligible impact but because co is naturally sparse our emissions matter a lot in fact onethird of the co in the atmosphere is due to human activity we have to stop emitting and pull co weve already emitted out of the atmosphere to stabilize the climate,Positive
2022-09-07T17:30:50.000Z,14,,thats an excellent way to illustrate  ppm,Positive
2022-09-07T17:29:49.000Z,40,3.0,i find it interesting when people claim that co cant possibly be the cause of the earth warming because it is just a trace gas yet the same people would acknowledge that this trace gas is responsible for all plant life on earth,Positive
2022-09-07T17:15:55.000Z,1,,love this post great pedagogy ,Positive
2022-09-07T17:26:16.000Z,0,1.0,kathy schulz,Neutral
2022-09-07T16:25:32.000Z,0,,before of after i drink it,Neutral
2022-10-08T11:58:59.000Z,0,,"thats a good analogy 

i have thought that another one involving the absorption of em waves though in the visible might be try putting a small amount cc of blue die into a litre bottle of water all of the water then has a faint blue tinge",Negative
2022-09-07T16:05:17.000Z,0,,great advice,Positive
2022-09-07T16:25:20.000Z,0,,thanks for sharing,Positive
2022-09-15T16:05:08.000Z,0,,excellent,Positive
2022-09-08T21:32:25.000Z,0,,"not if its good coffee beans 
not until i get jittery",Positive
2022-09-10T14:03:08.000Z,1,,,Neutral
2022-09-10T21:41:15.000Z,0,,,Neutral
2023-08-13T18:38:05.000Z,0,,hlw,Neutral
2022-09-07T17:05:34.000Z,0,,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt,Neutral
2022-11-30T10:18:53.000Z,4,7.0,maybe this is what happened to marswe messed it up came here and doing it all over againmeant as a joke but i wouldnt be surprised,Positive
2022-11-30T10:13:48.000Z,1,1.0,it is not the average temperature that is importantbut the difference between night and day and the seasons,Negative
2022-11-29T18:34:36.000Z,21,5.0,its always fun watching dropouts pretend to argue science with nasa,Positive
2022-11-29T18:37:59.000Z,19,1.0,whenever nasa posts good peer reviewed science i make sure to read the comments to see what the nut jobs have to say,Positive
2022-11-29T18:29:22.000Z,3,,due to more carbon,Positive
2022-12-15T06:02:09.000Z,3,5.0,"maybe if fox had investigative journalists they would  understand the physics of climate change and the dangers they present  would expose the propaganda of the fossil fuel industry  not mock those like aoc who are trying to make real change

here read thiswatch real investigative reporters with hard data and not fox charlatans

watch and learn

httpswwwpbsorgvideothepowerofbigoilpartonedenialredxh",Positive
2022-11-29T20:25:36.000Z,1,,by  inches as the rate continues to accelerate  glad am  and not ,Positive
2022-11-29T21:33:48.000Z,2,,you simply cant mess with science and the data collected by thousands of scientists and researchers what will it take for politicians to finally take a stance to actually globally combat climate change,Negative
2022-11-29T18:39:45.000Z,5,2.0,cue the science graduates of the universities of google facebook  youtube,Neutral
2022-11-29T18:28:44.000Z,3,,thats horrendous,Neutral
2022-11-29T18:30:13.000Z,0,2.0,say bye bye florida,Neutral
2022-11-30T04:57:27.000Z,1,,sustainability vs stability of climate change solution is a must,Neutral
2023-12-02T16:41:56.000Z,1,1.0,dutchy holland maybe you better move up a level in your apartment building,Positive
2022-11-29T19:49:25.000Z,12,23.0,yet so many westerners dont believe or understand the simple science behind global warming this is why bigoil still has so much power,Positive
2022-12-05T13:56:09.000Z,0,,di pulau jawa indonesia sering gempa sekarang,Neutral
2022-11-30T02:38:06.000Z,0,,andrew bidi apropo de conversatia noastra am vazut asta si am zis sa iti arat ,Neutral
